"rank","eff","conf","color"
1,15371,"Sunway MPP, Sunway SW26010 260C 1.45GHz, Sunway","#6495ED"
2,17808,"TH-IVB-FEP Cluster, Intel Xeon E5-2692 12C 2.200GHz, TH Express-2, Intel Xeon Phi 31S1P","#DC143C"
3,8209,"Cray XK7, Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x","#00FFFF"
4,7890,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","#00008B"
5,3939,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ","#DC143C"
6,2718.7,"PRIMERGY CX1640 M1, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path","#008B8B"
7,12659.89,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect","#00008B"
8,1312,"Cray XC50, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect , NVIDIA Tesla P100","#DC143C"
9,3945,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","#00FFFF"
10,4232.63,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ","#DC143C"
13,4407,"SGI ICE X, Intel Xeon E5-2670/E5-2680v2/E5-2680v3/E5-2680v4  2.6/2.8/2.5/2.4 GHz, Infiniband FDR","#A9A9A9"
14,3615,"Cray XC40, Xeon E5-2680v3 12C 2.5GHz, Aries interconnect ","#DC143C"
15,2834,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ","#DC143C"
16,4150,"SGI ICE X, Xeon Xeon E5-2670/ E5-2680v3 12C 2.5GHz, Infiniband FDR","#B8860B"
17,4510,"PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi SE10P","#006400"
18,1087,"Cray XC40, Intel Xeon Phi 7230 64C 1.3GHz, Aries interconnect ","#DC143C"
19,2301,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","#00FFFF"
20,1727,"SGI ICE XA, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR","#B8860B"
21,1972,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","#00FFFF"
22,1800,"Cray XC30, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ","#DC143C"
23,1897.02,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ","#DC143C"
24,1897.02,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ","#DC143C"
25,1498.9,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40","#DC143C"
26,1498.9,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40","#DC143C"
27,5175,"SGI ICE X, Xeon E5-2699v3 18C 2.3GHz, Infiniband FDR","#B8860B"
28,349.5,"NVIDIA DGX-1, Xeon E5-2698v4 20C 2.2GHz, Infiniband EDR, NVIDIA Tesla P100","#A9A9A9"
29,1227,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20x","#00FFFF"
30,1652.4,"Fujitsu PRIMEHPC FX100, SPARC64 XIfx  32C 1.98GHz, Tofu interconnect 2","#00008B"
31,6327.55,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect ","#DC143C"
32,4819.5,"SGI ICE X, Xeon E5-2699v3/E5-2697 v3, Infiniband FDR, NVIDIA Tesla K40, Intel Xeon Phi 7120P","#B8860B"
33,748.1,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ","#DC143C"
